species	cancer_type	correlation
Artibeus_jamaicensis	soft tissue sarcoma	0.119958504295658
Artibeus_jamaicensis	testicular	0.160925743340001
Artibeus_jamaicensis	thyroid	0.225489176555919
Artibeus_jamaicensis	urothelial	0.221300445543498
Artibeus_jamaicensis	uterine	0.180583794099149
Ateles_geoffroyi	all	0.604875738636958
Ateles_geoffroyi	bladder	0.621931452311867
Ateles_geoffroyi	breast	0.606819157788934
Ateles_geoffroyi	central nervous system	0.54699966675819
Ateles_geoffroyi	colon	0.603449127921864
Ateles_geoffroyi	colorectal	0.592045430185838
Ateles_geoffroyi	endometrial	0.57395931206812
Ateles_geoffroyi	gastric	0.589516208497742
Ateles_geoffroyi	glioma	0.652926575578626
Ateles_geoffroyi	head and neck	0.556746778629273
Ateles_geoffroyi	hepatocellular	0.61310396220509
Ateles_geoffroyi	intestine	0.592448555287314
Ateles_geoffroyi	kidney	0.658057465712075
Ateles_geoffroyi	leukaemia	0.534134284903982
Ateles_geoffroyi	liver	0.487187614896023
Ateles_geoffroyi	lung	0.632993109600441
Ateles_geoffroyi	lymphoma	0.550451618408825
Ateles_geoffroyi	melanoma	0.625084634771106
Ateles_geoffroyi	mesothelioma	0.75329879915206
Ateles_geoffroyi	oesophagus	0.536767464126767
Ateles_geoffroyi	other tumour types	0.640578904601333
Ateles_geoffroyi	ovarian	0.596452393677156
Ateles_geoffroyi	paediatric	0.588841911621243
Ateles_geoffroyi	pancreas	0.613059264717932
Ateles_geoffroyi	prostate	0.575425178266728
Ateles_geoffroyi	rare other tumour types	0.731304347826087
Ateles_geoffroyi	renal	0.556734694078434
Ateles_geoffroyi	sarcoma	0.599018818798866
Ateles_geoffroyi	skin	0.658308461592104
Ateles_geoffroyi	small intestine	0.64945972475736
Ateles_geoffroyi	soft tissue sarcoma	0.359500301464353
Ateles_geoffroyi	testicular	0.552211109101842
Ateles_geoffroyi	thyroid	0.591133591762041
Ateles_geoffroyi	urothelial	0.654466506031861
Ateles_geoffroyi	uterine	0.533788090930461
Balaenoptera_acutorostrata	all	0.199490882756209
Balaenoptera_acutorostrata	bladder	0.238093329282683
Balaenoptera_acutorostrata	breast	0.163830218817498
Balaenoptera_acutorostrata	central nervous system	0.170200247145795
Balaenoptera_acutorostrata	colon	0.26628688757032
Balaenoptera_acutorostrata	colorectal	0.224793620645047
Balaenoptera_acutorostrata	endometrial	0.152747497389887
Balaenoptera_acutorostrata	gastric	0.18197548262651
Balaenoptera_acutorostrata	glioma	0.197463580201203
Balaenoptera_acutorostrata	head and neck	0.241194104714352
Balaenoptera_acutorostrata	hepatocellular	0.222747432715416
Balaenoptera_acutorostrata	intestine	0.171577784434816
Balaenoptera_acutorostrata	kidney	0.316721912458234
Balaenoptera_acutorostrata	leukaemia	0.122914323070168
Balaenoptera_acutorostrata	liver	0.247838784770669
Balaenoptera_acutorostrata	lung	0.256130872201288
Balaenoptera_acutorostrata	lymphoma	0.211990033649136
Balaenoptera_acutorostrata	melanoma	0.25422808886812
Balaenoptera_acutorostrata	mesothelioma	0.235605715526436
Balaenoptera_acutorostrata	oesophagus	0.0882793625720535
Balaenoptera_acutorostrata	other tumour types	0.242378993224168
Balaenoptera_acutorostrata	ovarian	0.220030163793824
Balaenoptera_acutorostrata	paediatric	0.288030301577143
Balaenoptera_acutorostrata	pancreas	0.149058580208412
Balaenoptera_acutorostrata	prostate	0.17964061025751
Balaenoptera_acutorostrata	rare other tumour types	-0.379857824191475
Balaenoptera_acutorostrata	renal	0.143182300231078
Balaenoptera_acutorostrata	sarcoma	0.183318640098734
Balaenoptera_acutorostrata	skin	0.171231426742948
Balaenoptera_acutorostrata	small intestine	0.16362272947672
Balaenoptera_acutorostrata	soft tissue sarcoma	0.303037698499049
Balaenoptera_acutorostrata	testicular	-0.0618622063912885
Balaenoptera_acutorostrata	thyroid	0.250027858609825
Balaenoptera_acutorostrata	urothelial	0.210931478785961
Balaenoptera_acutorostrata	uterine	0.127063898125056
Balaenoptera_bonaerensis	all	0.201827088811128
Balaenoptera_bonaerensis	bladder	0.23761157894742
Balaenoptera_bonaerensis	breast	0.159070986181465
Balaenoptera_bonaerensis	central nervous system	0.173399580950827
Balaenoptera_bonaerensis	colon	0.261122978904521
Balaenoptera_bonaerensis	colorectal	0.225123313367587
Balaenoptera_bonaerensis	endometrial	0.151684494033698
Balaenoptera_bonaerensis	gastric	0.181958966557709
Balaenoptera_bonaerensis	glioma	0.200953642718952
Balaenoptera_bonaerensis	head and neck	0.241552515401071
Balaenoptera_bonaerensis	hepatocellular	0.2220140973128
Balaenoptera_bonaerensis	intestine	0.168672777910441
Balaenoptera_bonaerensis	kidney	0.312423003716305
Balaenoptera_bonaerensis	leukaemia	0.137433303043304
Balaenoptera_bonaerensis	liver	0.237712262846618
Balaenoptera_bonaerensis	lung	0.260025865984636
Balaenoptera_bonaerensis	lymphoma	0.211930305133218
Balaenoptera_bonaerensis	melanoma	0.254191965777471
Balaenoptera_bonaerensis	mesothelioma	0.241214951351343
Balaenoptera_bonaerensis	oesophagus	0.110542356090555
Balaenoptera_bonaerensis	other tumour types	0.236042611965805
Balaenoptera_bonaerensis	ovarian	0.219321921014096
Balaenoptera_bonaerensis	paediatric	0.275791284033416
Balaenoptera_bonaerensis	pancreas	0.186015591953871
Balaenoptera_bonaerensis	prostate	0.175695592019768
Balaenoptera_bonaerensis	rare other tumour types	-0.40001175719356
Balaenoptera_bonaerensis	renal	0.138310656879545
Balaenoptera_bonaerensis	sarcoma	0.191637128581342
Balaenoptera_bonaerensis	skin	0.145564446368524
Balaenoptera_bonaerensis	small intestine	0.171431114825164
Balaenoptera_bonaerensis	soft tissue sarcoma	0.292177166594988
Balaenoptera_bonaerensis	testicular	-0.0394243435952455
Balaenoptera_bonaerensis	thyroid	0.252492198440898
Balaenoptera_bonaerensis	urothelial	0.195439532708042
Balaenoptera_bonaerensis	uterine	0.136687462395824
Beatragus_hunteri	all	0.213859646922297
Beatragus_hunteri	bladder	0.250858688377167
